,SWE_km3
2000-10-31,1.5468924332619651
2000-11-30,2.5326988606504575
2000-12-31,3.9972262392463
2001-01-31,10.783310604311522
2001-02-28,21.622255283130322
2001-03-31,15.31983265812486
2001-04-30,8.561297292477652
2001-05-31,0.0
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,0.0
2001-11-30,5.264302554086912
2001-12-31,16.57457206137071
2002-01-31,20.747844346679255
2002-02-28,22.46820707222074
2002-03-31,23.218537308114463
2002-04-30,10.233370864795473
2002-05-31,0.0
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,2.2037924333427217
2002-12-31,18.972373091983602
2003-01-31,17.581152378344626
2003-02-28,18.413301533894007
2003-03-31,16.548122266545573
2003-04-30,20.673893450028626
2003-05-31,3.85569852283642
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,2.7424992375864776
2003-12-31,14.442616225839314
2004-01-31,20.98366965363943
2004-02-29,31.8996960682375
2004-03-31,20.05068283761716
2004-04-30,6.880515342468308
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,5.645483010475769
2004-12-31,17.048422197959386
2005-01-31,30.643772356946034
2005-02-28,36.31000522020458
2005-03-31,39.66272891261057
2005-04-30,29.438309494495602
2005-05-31,7.336734191458531
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,1.8329432859222246
2005-12-31,10.421227513205338
2006-01-31,21.01892453007465
2006-02-28,23.637053028086857
2006-03-31,41.40771434792692
2006-04-30,35.96249171908661
2006-05-31,9.14499633980633
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,1.5282533988017244
2006-12-31,6.825712837500088
2007-01-31,7.037639994320608
2007-02-28,16.445755651317583
2007-03-31,9.76312182844484
2007-04-30,3.541768405827087
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,7.555545854207129
2008-01-31,26.945136315837498
2008-02-29,36.88415486925842
2008-03-31,29.20677683825375
2008-04-30,10.934711728168875
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,9.575414548497644
2009-01-31,12.185846812475472
2009-02-28,21.86150910626842
2009-03-31,21.17715372048766
2009-04-30,10.601610732574702
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,11.36968203052506
2010-01-31,22.560737328051594
